cave,month,location,room,date,time,wind_speed,temperature,atmospheric_pressure,relative_humidity
1,october,1,1,10/23/2021,12:51:51,0,20.5,847,
1,october,1,1,10/23/2021,12:51:56,0,20.5,847,
1,october,1,1,10/23/2021,12:52:01,0,20.5,847,
1,october,1,1,10/23/2021,12:52:06,0,20.6,847,
1,october,1,1,10/23/2021,12:52:11,0,20.5,847,
1,october,1,1,10/23/2021,12:52:16,0,20.6,847,
1,october,1,1,10/23/2021,12:52:21,0,20.6,847,
1,october,1,1,10/23/2021,12:52:26,0,20.6,847,
1,october,1,1,10/23/2021,12:52:31,0,20.6,847,
1,october,1,1,10/23/2021,12:52:36,0,20.6,847,
1,october,1,1,10/23/2021,12:52:41,0,20.6,847,
1,october,1,1,10/23/2021,12:52:46,0,20.6,847,
1,october,1,1,10/23/2021,12:52:51,0,20.6,847,
1,october,1,1,10/23/2021,12:52:56,0,22.2,847,
1,october,1,1,10/23/2021,12:53:01,0,22.3,847,
1,october,1,1,10/23/2021,12:53:06,0,22.3,847,
1,october,1,1,10/23/2021,12:53:11,0,22.4,847,
1,october,1,1,10/23/2021,12:53:16,0,22.4,847,
1,october,1,1,10/23/2021,12:53:21,0,22.5,847,
1,october,1,1,10/23/2021,12:53:26,0,22.6,847,
1,october,1,1,10/23/2021,12:53:31,0,22.6,847,
1,october,1,1,10/23/2021,12:53:36,0,22.6,847,
1,october,1,1,10/23/2021,12:53:41,0,22.6,847,
1,october,1,1,10/23/2021,12:53:46,0,22.6,847,
1,october,1,1,10/23/2021,12:53:51,0,22.6,847,
1,october,1,1,10/23/2021,12:53:56,0,22.6,847,
1,october,1,1,10/23/2021,12:54:01,0,22.6,847,
1,october,1,1,10/23/2021,12:54:06,0,22.6,847,
1,october,1,1,10/23/2021,12:54:11,0,22.6,847,
1,october,1,1,10/23/2021,12:54:16,0,22.6,847,
1,october,1,1,10/23/2021,12:54:21,0,22.6,847,
1,october,1,1,10/23/2021,12:54:26,0,22.6,847,
1,october,1,1,10/23/2021,12:54:31,0,22.6,847,
1,october,1,1,10/23/2021,12:54:36,0,22.6,847,
1,october,1,1,10/23/2021,12:54:41,0,22.6,847,
1,october,1,1,10/23/2021,12:54:46,0,22.6,847,
1,october,1,1,10/23/2021,12:54:51,0,22.6,847,
1,october,1,1,10/23/2021,12:54:56,0,22.6,847,
1,october,1,1,10/23/2021,12:55:01,0,22.6,847,
1,october,1,1,10/23/2021,12:55:06,0,22.6,847,
1,october,1,1,10/23/2021,12:55:11,0,22.6,847,
1,october,1,1,10/23/2021,12:55:16,0,22.6,847,
1,october,1,1,10/23/2021,12:55:21,0,22.6,847,
1,october,1,1,10/23/2021,12:55:26,0,22.6,847,
1,october,1,1,10/23/2021,12:55:31,0,22.6,847,
1,october,1,1,10/23/2021,12:55:36,0,22.6,847,
1,october,1,1,10/23/2021,12:55:41,0,22.6,847,
1,october,1,1,10/23/2021,12:55:46,0,22.6,847,
1,october,1,1,10/23/2021,12:55:51,0,22.6,847,
1,october,1,1,10/23/2021,12:55:56,0,22.6,847,
1,october,1,1,10/23/2021,12:56:01,0,22.6,847,
1,october,1,1,10/23/2021,12:56:06,0,22.6,847,
1,october,1,1,10/23/2021,12:56:11,0,22.6,847,
1,october,1,1,10/23/2021,12:56:16,0,22.6,847,
1,october,1,1,10/23/2021,12:56:21,0,22.6,847,
1,october,1,1,10/23/2021,12:56:26,0,22.6,847,
1,october,1,1,10/23/2021,12:56:31,0,22.6,847,
1,october,1,1,10/23/2021,12:56:36,0,22.6,847,
1,october,1,1,10/23/2021,12:56:41,0,22.6,847,
1,october,1,1,10/23/2021,12:56:46,0,22.6,847,
1,october,1,1,10/23/2021,12:56:51,0,22.6,847,
1,october,1,1,10/23/2021,12:56:56,0,22.6,847,
1,october,1,1,10/23/2021,12:57:01,0,22.6,847,
1,october,1,1,10/23/2021,13:15:48,0,23,847,
1,october,2,1,10/23/2021,13:15:53,0,23,847,
1,october,2,1,10/23/2021,13:15:58,0,23,847,
1,october,2,1,10/23/2021,13:16:03,0,23,847,
1,october,2,1,10/23/2021,13:16:08,0,23,847,
1,october,2,1,10/23/2021,13:16:13,0,23,847,
1,october,2,1,10/23/2021,13:16:18,0,23,847,
1,october,2,1,10/23/2021,13:16:23,0,23,847,
1,october,2,1,10/23/2021,13:16:28,0,23,847,
1,october,2,1,10/23/2021,13:16:33,0,23,847,
1,october,2,1,10/23/2021,13:16:38,0,23,847,
1,october,2,1,10/23/2021,13:16:43,0,23,847,
1,october,2,1,10/23/2021,13:16:48,0,23,847,
1,october,2,1,10/23/2021,13:16:53,0,23,847,
1,october,2,1,10/23/2021,13:16:58,0,23,847,
1,october,2,1,10/23/2021,13:17:03,0,23,847,
1,october,2,1,10/23/2021,13:17:08,0,23,847,
1,october,2,1,10/23/2021,13:17:13,0,23,847,
1,october,2,1,10/23/2021,13:17:18,0,23,847,
1,october,2,1,10/23/2021,13:17:23,0,23,847,
1,october,2,1,10/23/2021,13:17:28,0,23,847,
1,october,2,1,10/23/2021,13:17:33,0,23,847,
1,october,2,1,10/23/2021,13:17:38,0,23,847,
1,october,2,1,10/23/2021,13:17:43,0,23,847,
1,october,2,1,10/23/2021,13:17:48,0,23,847,
1,october,2,1,10/23/2021,13:17:53,0,23,847,
1,october,2,1,10/23/2021,13:17:58,0,23,847,
1,october,2,1,10/23/2021,13:18:03,0,23,847,
1,october,2,1,10/23/2021,13:18:08,0,23,847,
1,october,2,1,10/23/2021,13:18:13,0,23,847,
1,october,2,1,10/23/2021,13:18:18,0,23,847,
1,october,2,1,10/23/2021,13:18:23,0,23,847,
1,october,2,1,10/23/2021,13:18:28,0,23,847,
1,october,2,1,10/23/2021,13:18:33,0,23,847,
1,october,2,1,10/23/2021,13:18:38,0,23,847,
1,october,2,1,10/23/2021,13:18:43,0,23,847,
1,october,2,1,10/23/2021,13:18:48,0,23,847,
1,october,2,1,10/23/2021,13:18:53,0,23,847,
1,october,2,1,10/23/2021,13:18:58,0,23,847,
1,october,2,1,10/23/2021,13:19:03,0,23,847,
1,october,2,1,10/23/2021,13:19:08,0,23,847,
1,october,2,1,10/23/2021,13:19:13,0,23,847,
1,october,2,1,10/23/2021,13:19:18,0,23,847,
1,october,2,1,10/23/2021,13:19:23,0,23,847,
1,october,2,1,10/23/2021,13:19:28,0,24,847,
1,october,2,1,10/23/2021,13:19:33,0,24,847,
1,october,2,1,10/23/2021,13:19:38,0,24,847,
1,october,2,1,10/23/2021,13:19:43,0,24,847,
1,october,2,1,10/23/2021,13:19:48,0,24,847,
1,october,2,1,10/23/2021,13:19:53,0,24,847,
1,october,2,1,10/23/2021,13:19:58,0,24,847,
1,october,2,1,10/23/2021,13:19:58,0,24,847,
1,october,2,1,10/23/2021,13:19:58,0,24,847,
1,october,2,1,10/23/2021,13:19:58,0,24,847,
